snapshot_date,territory,source,source_url,company,company_tier,title,years_min,years_max,in_band_for_1plus_yrs,location,work_mode,salary_lpa,languages,backend,frontend,retrieval_vector,agent_frameworks,llm_providers,cloud,data,ops_deploy,ml_deep,soft_asks,deliverables,excerpt
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/artificial-intelligence-engineer-1576661,Sparrow Risk Management,indian_product,Artificial Intelligence Engineer,1,3,True,Gurgaon,onsite,,Python,FastAPI|RESTful services,,RAG|vector databases|Pinecone|Weaviate|FAISS|Qdrant|embeddings|chunking|indexing,LangChain|LlamaIndex|agentic workflows|tool calling|function calling|Agentic AI,OpenAI|Claude|Llama,,Data Pipeline,observability|Langsmith|A/B tests|guardrails|cost controls,,stakeholder_management|requirements_gathering,LLM agentic workflows and RAG pipelines plus FastAPI backend for manufacturing digital-twin platform,"1-3 years professional software development experience. Hands-on experience with LLMs (OpenAI, Claude, Llama)"
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/paymeindia-data-scientist-genai-llm-1-4-yrs-1576788,PayMe India,indian_product,Data Scientist - GenAI/LLM,1,4,True,Noida,,,Python,FastAPI|APIs,,RAG|vector databases|FAISS|Pinecone|Weaviate|ChromaDB|embedding models,LangChain|LlamaIndex|AutoGen|LangGraph|multi-agent systems,GPT|LLaMA|Falcon|Mistral|Claude|Hugging Face Transformers,AWS|GCP|Azure,,Docker|MLOps|LLMOps|automated evaluation,TensorFlow|PyTorch|fine-tuning|NLP|Deep Learning|prompt engineering,,Fine-tuned LLM chatbots and RAG-backed enterprise AI for fintech lender,"1-4 years experience in ML, Deep Learning and NLP-based model development"
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/ideapoke-ai-engineer-1620706,Ideapoke Technologies,indian_product,AI Engineer,2,3,True,Bangalore,,,Python,FastAPI|Flask|Django,,RAG pipelines,LangChain|LangGraph|Agentic AI workflows|multi-agent AI architectures|tool orchestration,GPT|LLaMA|Claude|HuggingFace Transformers,Azure,MongoDB|MySQL|Redis,GitHub Actions|Kubernetes|vLLM|ONNX Runtime|monitoring|LLM evaluation,PyTorch|spaCy|NLTK|LoRA|QLoRA|PEFT|NLP,requirements_gathering,"GenAI applications, RAG pipelines and agentic multi-step reasoning workflows","2-3 years in AI/ML engineering, NLP or Generative AI. Experience with LLM frameworks such as LangChain and LangGraph"
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/algonomy-ai-software-engineer-1565912,Algonomy,indian_product,AI Software Engineer - GenAI & Cloud Native,3,4,False,Bangalore,hybrid,,Python|Node.js,FastAPI|gRPC|microservices,,RAG pipelines|vector databases|Azure Cognitive Search|AWS OpenSearch,LangChain|CrewAI|AutoGen|agentic systems,AWS Bedrock|Azure OpenAI|OpenAI,AWS|Azure|serverless|SageMaker Endpoints,data pipelines|synthetic data,Terraform|CloudFormation|CI/CD|GitHub Actions|Prometheus|CloudWatch|monitoring|automated testing|Triton,LoRA|PEFT|fine-tune LLMs,system_design,"Cloud-native backend services, IaC and CI/CD for generative and agentic AI features",3-4 years in software development plus 1-2 years in AI (agentic/generative)
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/palni-generative-ai-engineer-1599592,Palni,consultancy,Generative AI Engineer - Python/LLM,1,3,True,Hyderabad,,,Python,FastAPI|Flask|Django,React|Angular,embeddings|vector databases|RAG|FAISS|Pinecone|Weaviate|OpenSearch,AI agents|tool calling,OpenAI|Anthropic|open-source models,AWS,SQL,,,poc_prototype|stakeholder_management|requirements_gathering|system_design,Fast GenAI demos and AI agents for banking/enterprise clients plus reusable building blocks,Strong proficiency in Python. Hands-on experience with GenAI / LLM-based systems
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/au-small-finance-bank-ai-engineer-1671913,AU Small Finance Bank,other,AI Engineer - Conversational AI,2,4,True,Mumbai,,,Python,APIs,,RAG pipelines|vector databases|semantic search|retrieval quality|grounding,Agentic AI|AI agents|multi-agent workflows|tool usage,OpenAI,,enterprise knowledge bases,AI testing|benchmarking|regression validation|evaluation datasets|hallucination measurement|latency,Speech Recognition|Conversational AI|Prompt Engineering,stakeholder_management|requirements_gathering,Enterprise conversational AI and agentic copilots for banking,"Design, develop, test and optimize enterprise-grade conversational AI and Agentic AI solutions for banking"
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/drivex-ai-native-full-stack-engineer-1672224,DriveX,indian_product,AI Native Full Stack Engineer,2,4,True,Bangalore,,,TypeScript,Node JS,React JS|React Native|Expo,,AI agents,LLMs,,databases,end-to-end deployment,,requirements_gathering|system_design,End-to-end full-stack product features with AI tools as assist,"Exposure to AI coding tools, AI agents, LLMs or AI-assisted development an added advantage"
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/aatmix-ai-engineer-sde-ii-1671392,Aatmix,ai_startup,AI Engineer / SDE II - Full Stack,3,6,False,Bangalore,,12-22,,Node.js,React.js,,LangChain|AI agents|Agentic AI,LLM,,SQL|noSQL|data modeling,rigorous testing|monitoring protocols,prompt engineering,stakeholder_management|system_design,Full-stack applications on agentic AI SDLC platform with LangChain-orchestrated LLM features,Proven ability to implement and orchestrate AI workflows using LangChain with deep understanding of prompt engineering
2026-09-18,indian_tech_boards,Hirist,https://www.hirist.tech/j/ai-engineer-rag-llm-1616914,Aruvee Intelligence,ai_startup,AI Engineer - RAG & LLM,0,3,True,Remote India / Singapore,remote,,Python,,,RAG pipelines|chunking|embedding|vector stores|Pinecone|Weaviate|pgvector|BGE|E5|sentence-transformers|re-ranking,LangChain|LlamaIndex|agentic workflows,LLaMA|Mistral|Qwen|Hugging Face Transformers,AWS|GCP|Azure,document ingestion,Docker|Kubernetes|MLflow|W&B|MLOps|vLLM|TGI|Ollama|RAGAS|evaluation pipelines|guardrails|GGUF|AWQ|GPTQ,PyTorch|PEFT|fine-tune|SFT|LoRA/QLoRA|RLHF|DPO,,RAG pipelines and domain fine-tuned LLM agents for semiconductor fab engineers,Fresh graduates welcome. 0-3 years of experience in ML/NLP or AI development
2026-09-18,indian_tech_boards,Wellfound,https://wellfound.com/jobs/3725654-founding-agentic-ai-engineer,Boock.ai,ai_startup,Founding Agentic AI Engineer,1,3,True,Remote India,remote,4-6,Python,,,Vector databases|embeddings,LangGraph|LangChain|CrewAI|n8n|multi-agent coordination|agent memory|sub-agents,LLMs,,,automated evaluation|QA|self-repair loops|monitoring|cost|scalability,Multimodal AI,,Core agentic AI platform with collaborating agents for ebook/audiobook generation,"1-3 years hands-on experience with LLMs and agentic AI systems. Practical experience with LangGraph, LangChain, CrewAI, n8n"
2026-09-18,indian_tech_boards,Wellfound,https://wellfound.com/jobs/4717812-junior-ai-engineer,Planso,ai_startup,Junior AI Engineer,2,,True,"Coimbatore, Madurai",hybrid,7-10,Python,FastAPI,,embeddings|reranking|RAG|vector databases|information retrieval,agentic workflows|LangChain|LangGraph|LlamaIndex,LLM APIs|Hugging Face,,structured and unstructured data|knowledge graphs,evaluation datasets|accuracy relevance reliability|guardrails,machine learning|NLP|PyTorch,documentation|poc_prototype,LLM document understanding and retrieval pipelines from prototype to production,"Familiarity with LLM APIs, embeddings and RAG. Understanding of evaluation metrics such as precision and recall"
2026-09-18,indian_tech_boards,Wellfound,https://wellfound.com/jobs/4716557-ai-engineer-agentic-ai,Pocketpills,global_product,AI Engineer (Agentic AI & LLM Applications),3,6,False,Gurgaon,hybrid,,Python,REST APIs,,RAG systems|embeddings|vector search|retrieval optimization|reranking|pgvector|Pinecone|Weaviate|Qdrant,LangChain|LangGraph|LlamaIndex|MCP|intelligent agents|tool calling|memory systems,LLM,cloud infrastructure,,Docker|observability|LangSmith|guardrails|evaluation frameworks|benchmarking|automated testing|latency|cost efficiency,prompt engineering,,"Multi-step agentic workflows with tool calling, state and memory plus RAG and observability","Design and implement intelligent agents and workflows using frameworks like LangChain, LangGraph"
2026-09-18,indian_tech_boards,Wellfound,https://wellfound.com/jobs/3026401-applied-ai-engineer,Lamatic.ai,ai_startup,Applied AI Engineer,1,,True,India remote / Miami,remote,,JavaScript,,,,agentic systems,Generative AI,,,,,client_facing|requirements_gathering|stakeholder_management,Configuring agentic pipelines for customers and onboarding them,Interest in Generative AI with aptitude for designing agentic systems
2026-09-18,indian_tech_boards,Wellfound,https://wellfound.com/jobs/4562447-junior-ai-engineer,Silstone Health,ai_startup,Junior AI Engineer,1,2,True,Remote India,remote,,Python,REST APIs,,RAG pipelines|vector databases,LangChain|LangGraph|LlamaIndex|CrewAI|Agentic AI workflows,LLMs|Generative AI,,databases,Git|GitHub|debug test optimize,,,LLM applications with RAG and agentic workflows integrated to APIs and databases,"Active GitHub profile with public repositories showcasing AI/LLM, RAG, or Agentic AI projects"
2026-09-18,indian_tech_boards,Cutshort,https://cutshort.io/job/Applied-AI-Engineer-with-Fullstack-rlclB1Mf,Hashone Careers,staffing,Applied AI Engineer with Fullstack,3,8,False,Remote,remote,12-40,Python|TypeScript,Node.js|backend APIs,React|Next.js,RAG pipelines|Vector Databases,AI agents|tool/function-calling|LangChain|LangGraph|LlamaIndex,OpenAI|Claude|Gemini|Generative AI,AWS|GCP|Azure|Vercel,PostgreSQL,Docker|CI/CD|production deployments,,stakeholder_management,"AI/LLM product features end to end: agents, RAG, tool calling behind APIs with React front end","Hands-on experience with LLMs / Generative AI. Experience with RAG, AI Agents or tool/function calling"
2026-09-18,indian_tech_boards,Cutshort,https://cutshort.io/job/Jr-AI-ML-Engineer-Pune-Rf5z9Kon,ideas to impacts innovation,other,Jr. AI/ML Engineer,1,3,True,Pune,hybrid,8-12,Python,FastAPI|REST APIs,,Vector Databases|embedding-based search|RAG architectures|semantic search|embedding optimization,LangChain|LangGraph|AI Agent workflows|AI orchestration,LLMs,AWS|Azure|GCP,,Git|CI/CD|Docker|testing|inference pipelines|performance optimization,Machine Learning concepts,code_review|system_design,AI applications on Python/FastAPI with LangChain and LangGraph workflows and RAG,1-3 years hands-on software development. Hands-on experience with LangChain and LangGraph
